article	property	value
https://bh.wikipedia.org/wiki/%E0%A4%9F%E0%A5%87%E0%A4%AE%E0%A5%8D%E0%A4%AA%E0%A4%B2%E0%A5%87%E0%A4%9F:Authority_control	http://schema.org/inLanguage	bho
https://bh.wikipedia.org/wiki/%E0%A4%9F%E0%A5%87%E0%A4%AE%E0%A5%8D%E0%A4%AA%E0%A4%B2%E0%A5%87%E0%A4%9F:Authority_control	http://www.w3.org/1999/02/22-rdf-syntax-ns#type	http://schema.org/Article
https://bh.wikipedia.org/wiki/%E0%A4%9F%E0%A5%87%E0%A4%AE%E0%A5%8D%E0%A4%AA%E0%A4%B2%E0%A5%87%E0%A4%9F:Authority_control	http://schema.org/name	टेम्पलेट:Authority control
https://bh.wikipedia.org/wiki/%E0%A4%9F%E0%A5%87%E0%A4%AE%E0%A5%8D%E0%A4%AA%E0%A4%B2%E0%A5%87%E0%A4%9F:Authority_control	http://schema.org/isPartOf	https://bh.wikipedia.org/
https://bs.wikipedia.org/wiki/%C5%A0ablon:Normativna_kontrola	http://schema.org/about	http://www.wikidata.org/entity/Q3907614
https://bs.wikipedia.org/wiki/%C5%A0ablon:Normativna_kontrola	http://schema.org/inLanguage	bs
https://bs.wikipedia.org/wiki/%C5%A0ablon:Normativna_kontrola	http://www.w3.org/1999/02/22-rdf-syntax-ns#type	http://schema.org/Article
https://bs.wikipedia.org/wiki/%C5%A0ablon:Normativna_kontrola	http://schema.org/name	Šablon:Normativna kontrola
https://bs.wikipedia.org/wiki/%C5%A0ablon:Normativna_kontrola	http://schema.org/isPartOf	https://bs.wikipedia.org/
https://pl.wikipedia.org/wiki/Szablon:Kontrola_autorytatywna	http://schema.org/about	http://www.wikidata.org/entity/Q3907614
https://pl.wikipedia.org/wiki/Szablon:Kontrola_autorytatywna	http://schema.org/inLanguage	pl
https://pl.wikipedia.org/wiki/Szablon:Kontrola_autorytatywna	http://www.w3.org/1999/02/22-rdf-syntax-ns#type	http://schema.org/Article
https://pl.wikipedia.org/wiki/Szablon:Kontrola_autorytatywna	http://schema.org/name	Szablon:Kontrola autorytatywna
https://pl.wikipedia.org/wiki/Szablon:Kontrola_autorytatywna	http://schema.org/isPartOf	https://pl.wikipedia.org/
https://pl.wikisource.org/wiki/Szablon:Kontrola_autorytatywna	http://schema.org/about	http://www.wikidata.org/entity/Q3907614
https://pl.wikisource.org/wiki/Szablon:Kontrola_autorytatywna	http://schema.org/inLanguage	pl
https://pl.wikisource.org/wiki/Szablon:Kontrola_autorytatywna	http://www.w3.org/1999/02/22-rdf-syntax-ns#type	http://schema.org/Article
https://pl.wikisource.org/wiki/Szablon:Kontrola_autorytatywna	http://schema.org/name	Szablon:Kontrola autorytatywna
https://pl.wikisource.org/wiki/Szablon:Kontrola_autorytatywna	http://schema.org/isPartOf	https://pl.wikisource.org/
https://pnb.wikipedia.org/wiki/%D8%B3%D8%A7%D9%86%DA%86%DB%81:Authority_control	http://schema.org/about	http://www.wikidata.org/entity/Q3907614
https://pnb.wikipedia.org/wiki/%D8%B3%D8%A7%D9%86%DA%86%DB%81:Authority_control	http://schema.org/inLanguage	pnb
https://pnb.wikipedia.org/wiki/%D8%B3%D8%A7%D9%86%DA%86%DB%81:Authority_control	http://www.w3.org/1999/02/22-rdf-syntax-ns#type	http://schema.org/Article
https://pnb.wikipedia.org/wiki/%D8%B3%D8%A7%D9%86%DA%86%DB%81:Authority_control	http://schema.org/name	سانچہ:Authority control
https://pnb.wikipedia.org/wiki/%D8%B3%D8%A7%D9%86%DA%86%DB%81:Authority_control	http://schema.org/isPartOf	https://pnb.wikipedia.org/
https://ps.wikipedia.org/wiki/%DA%A9%D9%8A%D9%86%DA%89%DB%8D:Authority_control	http://schema.org/about	http://www.wikidata.org/entity/Q3907614
https://ps.wikipedia.org/wiki/%DA%A9%D9%8A%D9%86%DA%89%DB%8D:Authority_control	http://schema.org/inLanguage	ps
https://ps.wikipedia.org/wiki/%DA%A9%D9%8A%D9%86%DA%89%DB%8D:Authority_control	http://www.w3.org/1999/02/22-rdf-syntax-ns#type	http://schema.org/Article
https://ps.wikipedia.org/wiki/%DA%A9%D9%8A%D9%86%DA%89%DB%8D:Authority_control	http://schema.org/name	کينډۍ:Authority control
https://ps.wikipedia.org/wiki/%DA%A9%D9%8A%D9%86%DA%89%DB%8D:Authority_control	http://schema.org/isPartOf	https://ps.wikipedia.org/
https://pt.wikipedia.org/wiki/Predefini%C3%A7%C3%A3o:Controle_de_autoridade	http://schema.org/about	http://www.wikidata.org/entity/Q3907614
https://pt.wikipedia.org/wiki/Predefini%C3%A7%C3%A3o:Controle_de_autoridade	http://schema.org/inLanguage	pt
https://pt.wikipedia.org/wiki/Predefini%C3%A7%C3%A3o:Controle_de_autoridade	http://www.w3.org/1999/02/22-rdf-syntax-ns#type	http://schema.org/Article
https://pt.wikipedia.org/wiki/Predefini%C3%A7%C3%A3o:Controle_de_autoridade	http://schema.org/name	Predefinição:Controle de autoridade
